Height: 230, TxCount: 300, E2E_TPS: 120.90, Pure_TPS: 117.76, Submit_TPS: 135.26, TotalTxs: 11370, TotalBlocks: 231
Height: 231, TxCount: 300, E2E_TPS: 124.03, Pure_TPS: 120.81, Submit_TPS: 135.18, TotalTxs: 11670, TotalBlocks: 232
Height: 232, TxCount: 300, E2E_TPS: 126.96, Pure_TPS: 123.68, Submit_TPS: 135.56, TotalTxs: 11970, TotalBlocks: 233
Height: 233, TxCount: 300, E2E_TPS: 130.03, Pure_TPS: 126.67, Submit_TPS: 135.44, TotalTxs: 12270, TotalBlocks: 234
Height: 234, TxCount: 300, E2E_TPS: 133.18, Pure_TPS: 129.74, Submit_TPS: 135.41, TotalTxs: 12570, TotalBlocks: 235
Height: 235, TxCount: 300, E2E_TPS: 136.27, Pure_TPS: 132.75, Submit_TPS: 135.32, TotalTxs: 12870, TotalBlocks: 236
Height: 236, TxCount: 300, E2E_TPS: 139.42, Pure_TPS: 135.82, Submit_TPS: 135.29, TotalTxs: 13170, TotalBlocks: 237
Height: 237, TxCount: 300, E2E_TPS: 142.54, Pure_TPS: 138.86, Submit_TPS: 135.24, TotalTxs: 13470, TotalBlocks: 238
Height: 238, TxCount: 300, E2E_TPS: 145.66, Pure_TPS: 141.90, Submit_TPS: 135.19, TotalTxs: 13770, TotalBlocks: 239
Height: 239, TxCount: 300, E2E_TPS: 148.80, Pure_TPS: 144.96, Submit_TPS: 135.15, TotalTxs: 14070, TotalBlocks: 240
Height: 240, TxCount: 300, E2E_TPS: 151.90, Pure_TPS: 147.98, Submit_TPS: 135.09, TotalTxs: 14370, TotalBlocks: 241
Height: 241, TxCount: 300, E2E_TPS: 154.63, Pure_TPS: 150.65, Submit_TPS: 135.34, TotalTxs: 14670, TotalBlocks: 242
Height: 242, TxCount: 300, E2E_TPS: 157.68, Pure_TPS: 153.62, Submit_TPS: 135.24, TotalTxs: 14970, TotalBlocks: 243
Height: 243, TxCount: 300, E2E_TPS: 160.74, Pure_TPS: 156.61, Submit_TPS: 135.16, TotalTxs: 15270, TotalBlocks: 244
Height: 244, TxCount: 300, E2E_TPS: 163.46, Pure_TPS: 159.27, Submit_TPS: 135.43, TotalTxs: 15570, TotalBlocks: 245
Height: 245, TxCount: 300, E2E_TPS: 166.47, Pure_TPS: 162.21, Submit_TPS: 135.32, TotalTxs: 15870, TotalBlocks: 246
Height: 246, TxCount: 300, E2E_TPS: 169.51, Pure_TPS: 165.17, Submit_TPS: 135.23, TotalTxs: 16170, TotalBlocks: 247
